,Texto,Polaridad
1921,qué cosas nuevas os gustaría ver en los próximos videocapítulos del xnumxmuchos besos,P+
1922,@javierarenas_pp los socialistas en andalucía se han cargado la famp porque no iban a gobernarla ellos xurlx,N+
1923,asarta deja el mando en líbanoun buen general español un buen trabajo en una misión bastante dudosa,NEU
1924,me gustaron los mensajes del rey y morenés a los heridos y mutiladoshay que recuperarlos para el servicioestan mutilados no imbeciles,P
1925,#chacón considera q el faisán es un tema fantasma,N
1926,#chacón estaba en el gobierno zapatero parece como si no hubiera roto un plato en su vida,N
1927,#ahora_chacon #psoe decir lo mismo en todas partes como rubal pero matiz si decimos primarias primarias ay,NONE
1928,#ahora_chacon a ganar a x el futuro adelante,P+
1929,@javierarenas_pp si para el psoe andalucía es un campo de batalla interna para el pp es el motor del cambio xurlx,NEU
1930,madame barroso y sus amiguetes ls roures y cía creen que esto de gobernar un país es una coña de las suyas una cosa para wyomings,N+
1931,miedo en gobierno y rajoy de q próxima semana mercados ataquen deuda española y desbaraten dl todo el discurso d q el problema era zp,N+
1932,no existe más pensión vitalicia que la de expresidente del gobierno el resto como los demás,N+
1933,gracias mi gente de bellezuela os quiero rt @asanzvenezuela queremos escuchar en @gigablogxnumx (cont) xurlx,P
1934,@salvador__gomez me lo he pasado en grande leyendo que la muerte te acompañe enhorabuena risto y gracias,P+
1935,día precioso en el escorial xurlx,P+
1936,dice chacón que españa tiene acentos y es verdad pero cuando psc prohibió rotular en español no prohibió un acento sino un idioma,N
1937,@martinez_xabier en su epoka ya abia moviles claaro creo que había hasta diccionarios,NONE
1938,os dejo mi último post sobre lo más importante que pasó en la pascua militar xurlx,NONE
1939,esto era el periodismo xnumx xurlx,NONE
1940,en el df tenemos que conseguir hacer xnumx ó xnumx conciertos pa poder pasar un mes y medio alli ;) rt @kittychik @alejandrosanz y al df,P+
1941,los liberales alemanes no alcanzarian el xnumx% en eleciones hoydificultades para merkel que sigue subiendo su aceptacion hasta el xnumx%,NEU
1942,primera encuesta sobre los recortes de rajoy y la batalla entre rubalcaba y chacon de metroscopia mañana el el pais,N+
1943,buenas noches gracias por el cariño que la noche os premie con un sueño de esos ;),P+
1944,hace mucho que no la veía xnumx años,NONE
1945,enhorabuena también a mi amigo canelita que ha dejado patente su arte y su raza hoy en madrid ole los puros y los que cantan bien,P+
1946,gracias a todos por el cariño emociona de verdad #muertosderisa,P+
1947,veo maktub la peli de @pacoarango por segunda vez más intensa más sincera #recomiendom,P+
1948,si ahmadinejad busca romper su aislamiento ha elegido bien:venezuela cuba ecuador nicaragua bolivia,N
1949,a veces la lógica interna d los partidos les lleva a elegir un líder q difícilmente podrá ganar elecciones por ej republicanos usa,N+
1950,muchas gracias @sgueina muy bueno el perfil de @fgarea sobre carme chacón sin concesiones ni almibarado xurlx,P+
1951,ohh que bueno @anuskadb @buenafuente quien vino a cenar en nochevieja a mi casa xurlx,P+
1952,#recargarpsoe (de verdad) post en buzón de voz xurlx,NONE
1953,a gritos de esperanza by alex ubago from #soundhound xurlx,NONE
1954,vale me habéis convencido a verla xurlx,P+
1955,hay vida inteligente en los gobiernos análisis recomendable de antón costas xurlx,P+
1956,en declaraciones ante los medios en ferraz patxi lópez muestra su confianza en rubalcaba y tomás gómez en chacón,P+
1957,q valientesparamilitares cubanos org actos d repudio contra una dama d blanco en huelga d hambre lanzandole piedras xurlx,N+
1958,yo que tu lo leeria@sevillajordi xurlx vía @el_pais,NONE
1959,mas de la mitad de los españoles ( xnumx%) tiene buena impresión sobre el nuevo gobierno xurlx,P+
1960,expresos del franquismo forman la comuna para exigir justicia por @diego_barcala xurlx #porquepúblicohacefalta,N+
1961,@carmencachon defiende a rubalcaba con el caso faisán regalo envenenado #psoe,NEU
1962,la onu intenta llegar a xnumx desplazados en sudán del sur xurlx,NONE
1963,el videoclub salta a la red empujado por la estrecha conexión del televisor a internet xurlx,NEU
1964,volviendo de madrid tras el comité federal del @psoe,NONE
1965,xnumx seguidoresqué vértigo y responsabilidadgracias a todos a los que me criticana los q dicen q soy del psoe y los que dicen q del pp,NEU
1966,rt @ppandaluz @javierarenas_pp anuncia que impulsa una nueva ley de hacienda publica xurlx,P+
1967,este xnumx con el corazon abierto ohmm xurlx,P+
1968,gara pxnumx los presos provocan una expresión de cariño que desborda el relato oficial adorables asesinos euskadi enfermedad moral,N+
1969,@pilarggranja @el_pais max weber en versión bedoya,NONE
1970,y yo también flo por eso lo digo@flofdez:@paulavazqueztv @danimartinezweb@otramovida no te preocupes que ya se ha tomado medicacion,P
1971,si es que aún lo tengo tan presente xurlx,NONE
1972,ya está en el blog mi tribuna de hoy en abc mentiras arriesgadas xurlx sobre las medidas del gobierno,N
1973,#bowiexnumx una grabación de la bbc de xnumx con un bowie muy joven ese año aprobé la reválida de xnumxº five years xurlx,P+
1974,+rt@pau_go la mayoría de los españoles apoya los recortes pero rechaza la subida de impuestos xurlx #palabrasqueduelen,NEU
1975,bueno planeta creativo os dejo por hoy que mañana hay que ir pronto al atasco para llegar a @espejopublico saluxnumx,NEU
1976,@paulavazqueztv @luislarrodera fe de errata fervientemente,NONE
1977,estas sugerencias suenan bien,P
1978,esta encuesta de el pais dice q el @ppandaluz aventaja en mas de xnumx puntos al psoe #juntospodemos xurlx,NEU
1979,muy importanteclaro panetta iran has not yet decided to make a nuclear bomb | fox news xurlx vía @foxnewspolitics,P+
1980,la bici como fuente de felicidad xurlx,P+
1981,dios mañana arriba a las ocho y ya estoy con el insomnio de los co,N
1982,un fuerte catarro empeora la salud de manuel fraga de xnumx años convalece en su casa de madrid acompañado de su familia,N
1983,buenos días y creo q d momento ya está dicho todo,NONE
1984,portada marca xurlx,NONE
1985,decreto del ajuste y el recargo temporal pero sobre todo del rigor motis de la economía el paro y la ausencia del nuevo presidente rajoy,N+
1986,andalucía imparable xurlx,P
1987,primer personaje dl año sergio ga;)) xurlx,P
1988,cautos los brasileñosahmadineyad mejor mantenerlo a distancia en estos tiemposvenezuela cuba nicaragua y ecuadortoda una apetura,NEU
1989,y yo pensando en que me pongo para @otramovida,NONE
1990,hoy a la xnumx y cuarto txiqui benegas y lola gorostiaga presentan en ferraz los avales para la candidatura cambio seguro y unidad rbcb,P+
1991,jolín ya me queda menos el deterioro cognitivo puede comenzar a partir de los xnumx años xurlx,N
1992,la lista de la compra del palacete de jaume matas ocho televisores bang & olufsen xnumx euros xurlx,N+
1993,vascos:vizcaíno como yo en toma posesión del alavés curquijo como delegadogobierno con el guipuzcoano bsemper xurlx,NONE
1994,i favorited a @youtube video xurlx los recortes sociales del psoe en andaluc,N+
1995,esta es la realidadlos recortes sociales del psoe en andalucía xurlx,N+
1996,hoy en @horaxnumx la historia de esos jóvenes que se independizaron y a los que la crisis ha obligado a volver a casa,N+
1997,que total ;) un abrazo enorme rt @ursusanz @alejandrosanz corazon mi que le acabo de comprar a (cont) xurlx,P
1998,espero no acabar igual @fgsh no he leido epn todavia pero leyendo el libro de apolitkovskaya veo paralelismos en su lucha y la de vd,N
1999,#bastaya xnumx en xnumx dias hallado el cadáver de una mujer con signos de violencia en fuengirola xurlx,N+
2000,los jueces valencianos a la cabeza en carga de trabajo xurlx,N+
2001,@eliasbendodo asegura que la diputación ha generado un impacto económico xurlx vía @malagahoy_es,N+
2002,muere el presidente de guinea-bissau malam bacai sanhá xurlx (ep),N+
2003,la policía nacional detiene a un empresario acusado de detenciones ilegales violación robos y tenencia ilícita de armas,NEU
2004,conviene recordar que en el año xnumx cuando subir impuestos era un atentado el déficit era del xnumx% hoy está al xnumx% xurlx,N+
2005,happy bday happy bday mom feliz cumple a la mami mas cookie del mundo te amo,P+
2006,mi madre la mujer mas bella y ante nada mi mamita q siempre ha estado alli para mi y todos mis amigos gracias xurlx,P+
2007,pues esta la hice este finde en el escorial xurlx,NONE
2008,un corto israelí filmado en el metro de parís sin palabras xurlx,NONE
2009,el gobierno de rajoy sube las pensiones el psoe lo recorta todo menos el paro - xurlx #ahoraandalucía,NEU
2010,xnumx anuncios xnumx defraudadores cm mínimo es l política d vivienda d l generalitat y el control dl fraude dl gob xurlx,N+
2011,@iescolar y con la escobilla no se pondría mandar a la mierda el coloso castellonense es por darle utilidad,N+
2012,siempre habrá clases rt @europapress_es rolls-royce logra la cifra de ventas más alta en sus xnumx años de historia - xurlx,P+
2013,también hablaremos en @tdtarde @xnumxtelevision de la corrupción que se sienta en el banquillo,N+
2014,#bastaya detenido un hombre de xnumx años como supuesto agresor de su mujer de xnumx xurlx,P
2015,esa es justo la palabrasanz critica el cinismo del psoe-a y lo califica como el rey de los recortes xurlx,N+
2016,alucino grecia incluye a los pedófilos en su lista de personas con discapacidad con derecho a paga xurlx via @ap,N+
2017,@mariotresemes @edurnity por dioss me encantaa quiero tocarrloo y espachurrarrloojajjaja,P
2018,los recortes sociales del psoe en andalucía en mi blog xurlx,N+
2019,@sanchez_sonia @manusanchezg enhorabuena compañera y mucha muchísima suerte un besazo,P+
2020,gracias por seguirnos en #cabalgatagtv dsd medio mundoamigos d @giraldagtv nos siguieron el pasado viernes desde xnumx países #sevillahoy,P+
2021,@eliashumprey @edurnity que belloo son tan fieles y amistosos te presento a mi santi xurlx,P+
2022,patxi lópez reclama acercamiento de presos @telediariointer xnumx:xnumx,N
2023,siguiendo a la buena gente de @arrabal_aid ;-)) me encanta veros por aquí ;-)),P+
2024,aqui teneis otra bostezando jajajjamenuda lenguaza parece un leoncito xurlx,NONE
2025,hablando de perrosque os parece la cama que ha comprado mi madre para los perros de madridanda quejajjaja xurlx,NEU
2026,esta noche una mirada a el mundo en discovery max a las xnumx:xnumx con @carloscuestaveo @mamengurru #carmeloencinas y @chanihenares,NONE
2027,como los impuestos@sgueina lo fácil debe ser contratar y lo difícil despedir (ministro soria)se lo pongo barato oiga barato(el despido),N
2028,en @sextanoticias y @lasextadeportes ya echamos de menos a @sandrasabatesxnumx hoy gran debut en el intermedio,P+
2029,enhorabuena daniel gran alcalde :-) rt @danielortizesp gracias cristina por tus menciones y por haberme acompañado hoy un abrazo,P+
2030,crisis para quienbitlyxaedmxnumx,N+
2031,bitlyxaedmxnumx crisis bitlyxaedmxnumx,N+
2032,avisaré cuando se emita descuida@virginiagf_ @julia_otero julia avisa cuando esté listo el doc de ana maría matute gracias,P
2033,@carlos__alsina mes y medio antes con tiempo de hacer una gira por toda españa,P
2034,vengo de ver la peli the artist y la verdad me ha encantado muy recomendable,P+
2035,ah y hoy pongo una velita que hay luna llena mis mejores deseos para vosotros que me dais tanta luz y compañía,P+
2036,feliz noche de luna llena a tod@s yo me caigo de sueño y como dice mi amigo @xosecastro #besosdesos,P+
2037,aunque con la bb no sé poner el enlace recomiendo el artículo d josé luis puerta sobre reforma del estado bienestar ayer en el país,P
2038,llevo hora y media de pie pero en realidad no me he despertado,N
2039,portada xurlx,NONE
2040,al menos xnumx muertos y xnumx heridos por la explosión de una bomba en una gasolinera en pakistán en la zona fronteriza con afganistán,N+
2041,muy buenos días hace como frío no,P
2042,lamentablemente en cataluña se prioriza la construcción nacional y las políticas identitarias sobre salud educación o recuperación económica,N+
2043,vamos a por el martes ;-)),P+
2044,son los riesgos de hacer cine alternativo,N
2045,y aquí el equipo del telediario matinal haciendo el traspaso de poderes a #losdesayunosdetve xurlx,NONE
2046,buenos días a todos desde #asambleamadrid que tengáis un estupendo martes :-),P+
2047,nada que salgo del aeropuerto y me voy al programa de luis del olmo,NONE
2048,salen hacia china los primeros coches seat de barcelonaseat pretende vender xnumx coches en china xnumx@la_ser xurlx,P
2049,twitter me propone que siga a guindos pero esa cuenta es un fake manejado con habilidad al suplantador le debería caer una buena multa,N+
2050,#forumeuropa @pacodelatorrep tenemos a seguir ampliando nuestra oferta cultural y museística #malaga,P
2051,avanza el caso noos imputado jaume matas y también el apoderado de aizoon sl una de las empresas de los duques xurlx,N
2052,revista de prensa (abc punto radio xnumx de enero) xurlx,NONE
2053,lo que rajoy decía de matas y camps ejemplos de buena gestión (la hemeroteca es letal) xurlx,P
2054,un descubrimiento dedicado a @mananascuatro que se q le encantara a @mrtfernandez xurlx,P+
2055,mi abrazo y toda la fuerza para @conchagcampoy,P+
2056,enhorabuena a todos lo candidatos del goya,P+
2057,gracias teresa @terehernndez muchas felicidades disfruta de tu dia,P+
2058,os dejo unas fotos de la toma de posesión gustavo alcalde como delegado del gobierno en aragón xurlx,NONE
2059,en quince minutos estaré en el debate de @mananascuatro con @mrtfernandez @federicoquevedo josemari calleja y montse nebreda,NONE
2060,gracias goyi @goyi_xnumx muchas felicidades presidente que con salud cumpla muchos más,P+
2061,belén esteban o el día de la marmota jesulín de ubrique no tiene ni idea de su hija andrea xurlx,N
2062,@ristomejide gracias amigoo te veo en un ratin abrazacos,P+
2063,ánimo valiente rt @conchagcampoy muchísimas gracias a todostengo leucemia pero también ánimo de lucha buenos médicos y muchísimo afecto,P+
2064,josemi sorry @josemi_fv hoy es el día de unfollow a porque me tiene invadido el timeline (eso sí felicidades),P
2065,graciass trabajamos x ello @edu_amxnumx felicidades presidente aver si con el trabajo de todos mejoramos la situación,P+
2066,valencia y la formula xnumx hacer la prueba:xnumx mill x xnumx años no hacerla:xnumx mill x xnumx años alguien debería pagar x firmar esos contratos,NEU
2067,mi enhorabuena a los compañeros de @efenoticias por la primera entrevista a @marianorajoy @alonsongel y @belenanca llevaban años pidiendola,P+
2068,@juandecolmenero y a quien responda no a esa amable petición qué jaja,P
2069,a las xnumx en @axnumxnoticias rajoy reaparece en una entrevista justifica la subida del irpf y dice que no se va a esconder,NONE
2070,no me parece criticable que la primera entrevista a rajoy sea en efe una agencia pública española e internacionalmente contrastada,P
2071,rajoy (efe) no está en nuestras previsiones subir el iva descarta un banco malo,P+
2072,de la teoria a la realidad como funciona una aseguradora médica @nytimeskrugman who fires whom xurlx,NONE
2073,increíble rajoy dice que no nombró vicepresidente primero porque quería dar la cara sobre la crisis cuándo y dónde,N
2074,tenemos que combinar reflexión con accion tenemos que hacerlo con un proyecto que tiene que ser nuevo,P+
2075,el déficit del xnumx% es la muestra de la austeridad hipócrita del pp pero sobre todo del fracaso del ajuste que provoca recesión paro y deuda,N+
2076,@mgilguerrero sorprende que preocupe más un posible relevo en tráfico que el terrorismo alucinante con las preguntas el nuevo periodismo,N+
2077,en la reunión del grupo parlamentario popular xurlx,NONE
2078,esta noche al hormiguerome apetece un poquillo de cachondeo #palabrasarcaicas,P+
2079,las cifras de rajoy xnumx millones autonómicos + xnumx del gobierno + xnumx municipales + xnumx de la ss suman xnumx millones no xnumx,N+
2080,este es el especial en el que puedes seguir en el país las elecciones de eeuu y ahora mismo las primarias republicanas xurlx,P+
2081,la semana siguiente lo mismo en las asambleas comarcales después el congreso federal y así con los cambios lógicos desde hace xnumx años,NEU
2082,erc&pp no han apoyado ese pleno monográfico sobre impulso d l economia y efectos d ls recortes que registramos mañanael govern no lo quería,N+
2083,mañana en @elconfidencial mi #dos palabras cuando la corrupción se convierte en nuestro peor enemigo,N+
2084,mallorquines del twitter nos vemos con #yeswespainisdiferent el próximo xnumx y xnumx enero en el auditoriumentradas en xurlx,NONE
2085,de momento y ya a la venta palma (xnumx) barcelona del (xnumx a xnumx) y madrid (xnumx al xnumx) en xurlx e iremos a toda spain,NONE
2086,como s genera nuestro déficit:xnumx millones las com autónomasxnumx mill seg socialxnumx mill estadoxnumx mill ayuntam xurlx,N+
2087,ayuda rt @nkiese ayuda porfa necesitamos donadores de sangre o- y b- en medica sur para regina howard es una amiga rt pls,N
2088,rt @aprensamadrid sin periodistas no hay periodismo manifiesto federación de asociaciones periodistas de españa xurlx,NONE
2089,mañana hay pleno en el congreso de diputados para convalidar el decreto de recortes del gobierno nos dan xnumx minutos para fijar posición,N+
2090,recortan xnumx millones de euros a la rtve mal camino después que el anterior gobierno les suprimiera xnumx millones de publicidad,N
2091,noo,N+
2092,qué recuerdos nepal españoles en el mundo @tve_tve,P
2093,pues como jugemos como hoy el barça la semana que viene nos vuelve a canear esperemos que no aupa karim,NEU
2094,un fuerte abrazo a @conchagcampoy que va a disputar la batalla más importante de su vida mucho animo :-),P+
2095,entrevista completa al presidente @marianorajoy xurlx #interesante,P+
2096,@anoukira así es @costa_ant acabo de salir de la peli y @josemotatv hace un papelón buenísima gracias por el gracias a tí,P+
2097,@davirra con el culpable gracias por esta gran noche y por esta gran película #xnumxenfilmaffinity :d xurlx gracias a ti,P+
2098,xurlx tenéis las fotos del primer concierto de córdoba muchas gracias @lya_cordoba por tanto arte,P+
2099,que viene insomnio no mañana a las xnumx #ohagoyogaoyanosequé,N
2100,buenos días a todos que tengáis un estupendo miércoles :-),P+
2101,me quedé corto recorte d déficit no será d xnumxm sino mucho más pues sigue sin salirme el cómo lo harán con lo q falta q es muucho,N+
2102,buenos días a todos así amanece madrid xurlx,NONE
2103,al menos xnumxmuerto y xnumxheridos x la explosión d una bomba adosada a un coche en una plaza del norte de teherán cerca d la universidad (presstv),N+
2104,portada el país xurlx,NONE
2105,portada abc xurlx,NONE
2106,portada el mundo xurlx,NONE
2107,portada el periódico xurlx,NONE
2108,empezamos hoy con los empresarios en #losdesayunosdetve arturo fernandez vicepresidente de la ceoe,NONE
2109,me he dado cuenta de que cuesta mas levantarse de la cama cuanto mas frío hace fuera#perogrullo,N+
2110,#chacónenlaser no hacerle daño a mi partido es lo que me ha llevado a reaccionar,P+
2111,#chacónenlaser me siento con capacidad y con equipo no hay superman ni superwoman,P+
2112,cuando la corrupción se convierte en nuestro peor enemigo - dos palabras xurlx vía @elconfidencial,N+
2113,lo mas importante del viaje de ahmadineyad a america latina es los paises que no ha visitado@moisesnaim,NEU
2114,sí@ester_font @buenafuente espero que el día se porte bien contigo que mañana voy a veros y tienes que estar fresco como una rosa,P+
2115,el ministro del interior confirma su extraña cita con zapatero todo muy normal,NEU
2116,un buen trabajo@lavanguardia la nasa busca astronautas para ir a un asteroide xurlx,P+
2117,no habrá comisión de ciencia e investigación ni comisión de igualdad ni tampoco comisión de medioambiente,N
2118,@frec_digital #tusiquevales se dispara al xnumx% en el late y dobla a viaje al toledo de antena xnumx xurlx ouyeah,P+
2119,uuys montoro pide a la cámara que dejemos de lado la ideología ante la crisis danger,N+
2120,el psoe creador de la situación que vivimos comienza diciendo que se dejó la piel luchando contra la crisis,NEU
2121,el psoe pide q se haga lo que el no hizo en dos legislaturasy da lecciones de gobierno en las ccaa mientras la cámara le espeta:andalucía,N+
2122,damasiado frío alonso (psoe) en sus críticas al #rajoynazoxnumx parece un técnico no un político,N
2123,viendo el debate donde el presidente iba a dar la cara para explicar su subida de impuestos qué cambiado está rajoy xurlx,N
2124,empieza la degradación del debate con la herencia recibida y el y tu más montoro dice que el psoe conocía el déficit,N+
2125,lo que no explica montoro y es lo fundamental es qué autonomías han incumplido y por cuánto y quién las gobierna,N
2126,montoro dice que pide un esfuerzo pequeño de muchos con la subida de impuestos y defiende los impuestos a la propiedad ver para creer,N+
2127,montoro clama ahora x una política de luces largasy sigue con el rafa rafa de la pinderacion,N+
2128,montoro la situación está para que la política ponga las luces largas para salir de la crísis #congreso,NEU
2129,montoro hace dos meses si subiéramos el irpf tendríamos menos crecimiento y más paro con eso se lo digo todo xurlx,N+
2130,el gobierno no ampliará el plazo para que sindicatos y empresarios lleguen a un acuerdo,N
2131,qué pasa de noche en las librerías -- the joy of books xurlx vía @youtube,NONE
2132,cuando montoro decía estas cosas ya sabía que el déficit era del xnumx% él mismo lo iba contando xurlx,N+
2133,alonso a montoro no es manera de hacer las cosas busquen consensos que conviertan en justo lo injusto #congreso,NEU
2134,el gobierno recuerda que no conocía el déficit antes de llegar al poder el psoe se defiende señalando que si lo sabían,N
2135,denuncia a la banca la iglesia la ley sinde el escaso compromiso con el fraude congelación del salario mínimo y funcionarios rtve,N
2136,hoy no le tiembla la mano ayer cueste lo que cueste y durante toda la crisis la austeridad hipócrita como ley del embudo y el rigor mortis,N
2137,bigotes sobre r barberá aunque no nos da nada tampoco nos jode le voy a comprar [un bolso] de la última colección #juiciocamps,NEU
2138,si los sondeos están en lo cierto griñán vivirá su particular pasión -elecciones andaluzas- el xnumx de marzo poco antes de la semana santa,NONE
2139,esta es la mejor noticia q he leído hoy en la prensa xurlx,P+
2140,el día xurlx,NONE
2141,el debate sobre déficit publico es el viejo debate sobre cañones o mantequilla,N+
2142,qué interés hay en enfrentar el gasto de las distintas administraciones no hablar de estado y autonomías sino del estado de las autonomías,N
2143,viendo otra movida:-),NEU
2144,el congreso convalida con los votos del pp ciu y upn el primer ajuste de rajoy - abces xurlx via @abc_es,P
2145,jornada con compañeros y nuestros concejales d galapagos(guadalajara) rt @jordidxnumx:visita d @albert_rivera a galapagos xurlx,NONE
2146,en el ave con @josemotatv para ir a barna #palizon #señorasmayoresdegira #abuelas #desmadreenelgeriatrico,N+
2147,dorado (cgpj) elogia la elección de ruiz-gallardón para justicia frente al equipo tremendamente desleal de caamaño xurlx,NEU
2148,@marianorajoy visitará el próximo miércoles marruecos en su primer viaje al extranjero xurlx via @elmundoes,NONE
2149,no se puede utilizar la crisis como excusa para privatizar servicios públicos atacar a lo público es atacar a la democracia,N+
2150,rt @pedropabloglez vrompuy estudia cambiar la fecha de la cumbre europea del xnumx enero porque coincide con una huelga general en bélgica,NONE
2151,se han ampliado xnumx millones para avales a la banca la banca siempre gana y altos directivos más,N+
2152,la producción industrial subió en noviembre un xnumx xnumx% respecto al mismo mes del año anteriorla + alta de toda españa,P+
2153,la junta de andalucía sigue echando mano de la chequera para amigos se lo contamos en nuestro top secret @telediariointer xnumx:xnumx,N+
2154,alonso dice que en andalucía no hay corrupción risas en el hemiciclo @telediariointer xnumx:xnumx,N+
2155,#elcambioandaluz ya tiene fecha xnumx de marzo de xnumx xurlx,NONE
2156,he publicado una foto nueva en facebook xurlx,P+
2157,en @tdtarde @xnumxtelevision todos hemos estado de acuerdo en que los cargos públicos no estén mas de xnumx años en el poder #acabarconlacorrupcion,P
2158,rt @geekindignado los fotógrafos desafían a la censura en el congreso con unas polémicas imágenes de mariano rajoy xurlx,N
2159,quien no ha afrontado la adversidad no conoce su propia fuerza xurlx,N
2160,rt @anapastor_tve rt @unicef_es queremos acabar con la #desnutrición infantil nos ayudas envía dia al xnumx te necesitamos #donaundia,P
2161,que clamores de obama @efenoticias eeuu recuerda diez años de guantánamo entre clamores para su cierre inmediato #guantánamo #eeuu,N+
2162,telmo martín da el perfil para ministro de vivienda (o de burbuja inmobilaria) xurlx,N
2163,hubo un tiempo en que la capacidad profesional el valor y la admiración no se medían por la cuenta corriente,N+
2164,españa líder mundial de donantes y el hospital la fe de valencia líder en trasplantes de hígado y corazón xurlx,P+
2165,la constructora del diputado millonario telmo martín vendió viviendas vpo con sobreprecio y fue sancionada xurlx,N
2166,los abogados repudian los #cie para extranjeros el sí de ciu a rajoy y el desafío de chacón a rubalcabaxurlx#portadaepc,N+
2167,@leche_lacturale el secreto del éxito es la constancia en el propósito disraeli,P
2168,buenas noches:-),P
2169,rajoy&duran apoyan subida d impuestos a todos ls españoles justo lo contrario d lo que dijeron hace xnumx meses antes dl #xnumxn #pepevergencia,N+
2170,antonio quero quiere ser tercera vía @psoe entre @carmechaconxnumx y @_rubalcaba_ xurlx pedirá avales vinculado a @basesenred,NONE
2171,xurlxí podéis encontrar las fotos de mi segundo concierto en el gran teatro de córdoba @lya_cordoba y #queco,P+
2172,vaya público guapo el de córdoba señores gracias y mañana tocamos en cádiz cantaré por primera ver en el gran teatro falla otro sueño,P+
2173,portada el país xurlx,NONE
2174,portada el faro de melilla xurlx,NONE
2175,portada marca xurlx,NONE
2176,si quieres estar informado con criterio y eres progre no te puedes perder el @telediariointer a las xnumx prueba una dosis liberal oeoeoe,P
2177,contra el descriterio @telediariointer a las xnumx para saber lo q pasa y xq para entender mejor la realidad con argumentos valientes,P+
2178,@palomacervilla @@merceperello @@palomacervilla por supuesto pero no creo que negarse a malgastar dinero sea equivocarse,NEU
2179,desayunando con gabriela bravo portavoz del cgpj en el club internacional de prensa la escuchan corresponsables extranjeros,NONE
2180,banesto muestra el camino menos beneficios más provisionesxurlx,P+
2181,a las xnumx estaré en la tertulia política d @mananascuatro con @mrtfernandez colaboradores y equipazo ay las #ccaa,NONE
2182,la adicción a internet se caracteriza por una integración anormal de la materia blanca xurlx,N+
2183,rtvees mas de xnumx usuarios en diciembre xurlx gracias en general y en especial por vuestros comentarios en la lotería,P+
2184,la solidaridad no es entre los asalariados es d los que más tienen hacia el resto de la sociedad la del rajuste deja fuera a los más ricos,N
2185,vamos a por @herreraenlaonda ;),P+
2186,elegir presidente de rtve requiere xnumx del congreso conclusión hasta q el psoe no resuelva sus líos internos no habrá fumata blanca,N
2187,decir que un debate divide es como decir que la democracia divide,N
2188,amaiur en el congreso se demanda afrontar las consecuencias del conflicto hay q empezar acercando presos,N
2189,felicitaciones @delcastillogaby @ezeaguero bienvenido bauti a a la familia,P+
2190,q gustazo hablar con ga pelayo en @ondacero_es ;) en xnumx minutos seguimos,P+
2191,@meandmyzelf muy vanal diría yoes un tweet que no dice nada en cambio el tuyo lo dice todo darling #víaanal,NEU
2192,la semana q viene mas @ondacero_es @herreraenlaonda q bien nos lo pasamos viva la radio;),P+
2193,me da penita quitarlo xurlx,N
2194,revista de prensa (abcpunto radio xnumx de enero) xurlx,NONE
2195,la colocación de xnumx millones de deuda a menor interés demuestra que al menos para los mercados la estrategia de rajoy ha sido acertada,P
2196,alguien que tenga o venda ruedas aquí baratitas,NONE
2197,para mi escuchar a ramoneda me sirve de referencia on #bananity xurlx,P
2198,masel ex alcalde de los barrios y la delegada de cultura de la junta imputados por delito urbanístico xurlx via @elmundoes,N+
2199,qué tienen en común angola georgia montenegro y la comunidad valenciana su deuda tiene la misma nota para moody s xurlx,N
2200,oye me he tomado un vermú y me ha sentado fatal #perocontento,N
2201,;-)) rt @epandalucia rajoy intervendrá el sábado en la convención del pp-a (@ppandaluz) en málaga de cara al #xnumxm - xurlx,NONE
2202,rajoy intervendrá en la convención del pp-a en málaga el próximo sábado xurlx vía @europapress_es,NONE
2203,a las xnumx en @axnumxnoticias según defensa piratas somalíes atacan un buque de guerra español un pirata muerto y varios heridos,N+
2204,y preguntamos en @xnumxtv_aldia engañó @marianorajoy a los votantes (impuestos) o engañó el @psoe a los españoles (déficit) @dham_xnumxtv,N+
2205,me voy a dar un paseito con este solazo y buen día que hace hoyestoy feliz,P+
2206,es lo q es la mancomunidad de la axarquía ve una tomadura de pelo el decreto de vivienda xurlx via @elmundoes,N
2207,rt @maycrespo @alejandrosanz mirarlo y pasarlo porfa rprodciendo ete vdeoclip sguimos obtenendo (cont) xurlx,NONE
2208,la renovación del psoe es un problema de cambio intelectual no generacional | rubalcaba xurlx via @addthis,NEU
2209,@marianorajoy elige para #malaga su primer gran acto público como presidente sures xurlx vía @diario_sur,P+
2210,hoy m acompañan en @dham_xnumxtv @federicoquevedo @idiazayuso luis solana pedro sánchez @mamengurru y pablo casado a las xnumxh,NONE
2211,en octubre celebraremos el ii fórum de los archipiélagos esperamos esta vez en baleares a instituciones y empresas de canarias,P
2212,ese destino tendrá que forjarlo libremente cada generación de acuerdo con lo que en cada momento le parezca conveniente hacer,P
2213,estupendo si estoy hablamos @josenicolasxnumx notición nos avisa nuestro profesor de que ha concertado una visita a em el xnumx de enero,P+
2214,no basta con encomendarse al santoral o bailar la danza de la lluvia para frenar la #boinamadrid,N
2215,#rbcbenvalencia el compromiso es lo que me trajo a la política y agradece su lucha contra la corrupción a ángel luna,P
2216,oye que @josemotatv está despierto es importante que ocurra antes de que metan el ave en las cocheras,NONE
2217,@elmerengonbcn @david_busta la jefa mandacomo lo sabes,NONE
2218,#rbcbenvalencia no preguntaré a nadie donde milita si es mayor jóven o si lleva tiempo militando preguntaré si tiene ideas para mejorar,P
